id,state,year,quarter,district,transaction_count,transaction_amount
107,andhra-pradesh,2018,2,"kurnool district",968439,1531888665.6843233
108,andhra-pradesh,2018,2,"chittoor district",1185723,1990419125.8937118
109,andhra-pradesh,2018,2,"guntur district",1088101,2108475811.7859967
110,andhra-pradesh,2018,2,"krishna district",1224987,2448141593.4919834
111,andhra-pradesh,2018,3,"east godavari district",3226907,3551247095.307447
112,andhra-pradesh,2018,3,"srikakulam district",1073883,1318322236.598471
113,andhra-pradesh,2018,3,"spsr nellore district",1308890,2215938596.185108
114,andhra-pradesh,2018,3,"vizianagaram district",970132,1163546006.895916
115,andhra-pradesh,2018,3,"visakhapatnam district",3394576,4821892253.393524
116,andhra-pradesh,2018,3,"prakasam district",1319651,2346453445.483843
117,andhra-pradesh,2018,3,"anantapur district",1815215,2681787750.464165
118,andhra-pradesh,2018,3,"ysr district",1557444,2235904512.2542048
119,andhra-pradesh,2018,3,"west godavari district",1431282,2309078492.8058147
120,andhra-pradesh,2018,3,"kurnool district",2921189,2908389261.539773
121,andhra-pradesh,2018,3,"chittoor district",2297429,3283517630.720593
122,andhra-pradesh,2018,3,"guntur district",1912529,3127764663.180438
123,andhra-pradesh,2018,3,"krishna district",2396934,3754202654.3844614
124,andhra-pradesh,2018,4,"east godavari district",3052762,4652624623.436675
125,andhra-pradesh,2018,4,"srikakulam district",1252807,1870278609.504549
126,andhra-pradesh,2018,4,"spsr nellore district",1814997,3293448556.9734454
127,andhra-pradesh,2018,4,"vizianagaram district",1386787,1817673252.5417767
128,andhra-pradesh,2018,4,"visakhapatnam district",4791421,7366635864.849373
129,andhra-pradesh,2018,4,"prakasam district",1692862,3255254226.03728
130,andhra-pradesh,2018,4,"anantapur district",2286391,3975878156.329829
131,andhra-pradesh,2018,4,"ysr district",1732527,3252340063.2478595
132,andhra-pradesh,2018,4,"west godavari district",1688482,3237504255.4632454
133,andhra-pradesh,2018,4,"kurnool district",2508530,3626544852.4069242
134,andhra-pradesh,2018,4,"chittoor district",3166201,4979093890.223491
135,andhra-pradesh,2018,4,"guntur district",2546620,4730251217.696959
136,andhra-pradesh,2018,4,"krishna district",2839161,5416251838.130407
137,andhra-pradesh,2019,1,"east godavari district",5440146,7382264724.59952
138,andhra-pradesh,2019,1,"srikakulam district",2526855,3407912878.4152584
139,andhra-pradesh,2019,1,"spsr nellore district",3333584,5161932216.216368
140,andhra-pradesh,2019,1,"vizianagaram district",2798241,3364576948.299301
141,andhra-pradesh,2019,1,"visakhapatnam district",9690866,13459857440.552685
142,andhra-pradesh,2019,1,"prakasam district",2931081,4807527779.215151
143,andhra-pradesh,2019,1,"anantapur district",3891336,6044730653.191345
144,andhra-pradesh,2019,1,"ysr district",2852197,4915811593.896078
145,andhra-pradesh,2019,1,"west godavari district",2829437,4623764455.47309
146,andhra-pradesh,2019,1,"kurnool district",4193432,5541564892.509682
147,andhra-pradesh,2019,1,"chittoor district",6486813,8223371732.233585
148,andhra-pradesh,2019,1,"guntur district",4846553,7765934169.404485
149,andhra-pradesh,2019,1,"krishna district",5443981,9061346433.072681
150,andhra-pradesh,2019,2,"east godavari district",4699261,9116404622.47651
151,andhra-pradesh,2019,2,"srikakulam district",2019203,4066576539.936839
152,andhra-pradesh,2019,2,"spsr nellore district",3141891,6880873007.4820595
153,andhra-pradesh,2019,2,"vizianagaram district",2272320,4443041665.039663
154,andhra-pradesh,2019,2,"visakhapatnam district",11705738,20797479804.029076
