id,state,year,quarter,transaction_type,transaction_count,transaction_amount
44,andaman-&-nicobar-islands,2020,1,"Financial Services",66,208231.73071652642
45,andaman-&-nicobar-islands,2020,1,Others,216,332393.19201521645
46,andaman-&-nicobar-islands,2020,2,"Recharge & bill payments",38125,17659622.73418829
47,andaman-&-nicobar-islands,2020,2,"Peer-to-peer payments",20303,141728757.73517442
48,andaman-&-nicobar-islands,2020,2,"Merchant payments",4004,9236375.740471343
49,andaman-&-nicobar-islands,2020,2,"Financial Services",175,706932.1397115812
50,andaman-&-nicobar-islands,2020,2,Others,355,313313.0646014327
51,andaman-&-nicobar-islands,2020,3,"Recharge & bill payments",59310,24756220.875469353
52,andaman-&-nicobar-islands,2020,3,"Peer-to-peer payments",40697,289078946.7312394
53,andaman-&-nicobar-islands,2020,3,"Merchant payments",16096,22682992.238478824
54,andaman-&-nicobar-islands,2020,3,"Financial Services",572,961836.7129860274
55,andaman-&-nicobar-islands,2020,3,Others,808,539449.7721868362
56,andaman-&-nicobar-islands,2020,4,"Peer-to-peer payments",81439,533316526.1814983
57,andaman-&-nicobar-islands,2020,4,"Recharge & bill payments",80811,33710030.534383245
58,andaman-&-nicobar-islands,2020,4,"Merchant payments",59391,56867468.940003954
59,andaman-&-nicobar-islands,2020,4,"Financial Services",965,1880546.9672370641
60,andaman-&-nicobar-islands,2020,4,Others,1925,1508083.6917299272
61,andaman-&-nicobar-islands,2021,1,"Peer-to-peer payments",105458,665391395.715478
62,andaman-&-nicobar-islands,2021,1,"Recharge & bill payments",84119,37160922.86506996
63,andaman-&-nicobar-islands,2021,1,"Merchant payments",53090,78606979.05751458
64,andaman-&-nicobar-islands,2021,1,"Financial Services",884,1469351.0852598653
65,andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228
66,andaman-&-nicobar-islands,2021,2,"Peer-to-peer payments",132772,748382044.7707307
67,andaman-&-nicobar-islands,2021,2,"Recharge & bill payments",120911,43691961.26275121
68,andaman-&-nicobar-islands,2021,2,"Merchant payments",85143,103707408.50908463
69,andaman-&-nicobar-islands,2021,2,"Financial Services",960,2038521.5136710338
70,andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562
71,andaman-&-nicobar-islands,2021,3,"Peer-to-peer payments",192321,1077787837.1562996
72,andaman-&-nicobar-islands,2021,3,"Recharge & bill payments",136010,51243450.85925055
73,andaman-&-nicobar-islands,2021,3,"Merchant payments",118340,176991328.21761328
74,andaman-&-nicobar-islands,2021,3,"Financial Services",990,2351013.441729573
75,andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162
76,andaman-&-nicobar-islands,2021,4,"Peer-to-peer payments",285778,1544932663.2744582
77,andaman-&-nicobar-islands,2021,4,"Merchant payments",210164,322842314.62433755
78,andaman-&-nicobar-islands,2021,4,"Recharge & bill payments",135608,59243518.11464358
79,andaman-&-nicobar-islands,2021,4,"Financial Services",1718,3137965.167474068
80,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944
81,andaman-&-nicobar-islands,2022,1,"Peer-to-peer payments",342649,1682328505.7254477
82,andaman-&-nicobar-islands,2022,1,"Merchant payments",284298,370091558.68373305
83,andaman-&-nicobar-islands,2022,1,"Recharge & bill payments",163401,71300133.66101266
84,andaman-&-nicobar-islands,2022,1,"Financial Services",1757,2869682.0229511866
85,andaman-&-nicobar-islands,2022,1,Others,2643,2440321.9820225406
86,andaman-&-nicobar-islands,2022,2,"Merchant payments",449540,510838980.9061847
87,andaman-&-nicobar-islands,2022,2,"Peer-to-peer payments",437606,2088309073.4552848
88,andaman-&-nicobar-islands,2022,2,"Recharge & bill payments",179515,82232936.61795366
89,andaman-&-nicobar-islands,2022,2,"Financial Services",1448,2089862.3927160464
90,andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687
91,andaman-&-nicobar-islands,2022,3,"Merchant payments",716105,693438186.296541
92,andaman-&-nicobar-islands,2022,3,"Peer-to-peer payments",622217,2514535154.56483
93,andaman-&-nicobar-islands,2022,3,"Recharge & bill payments",240766,97748065.62714244
